,precision,recall,f1-score,support
0,0.717948717948718,0.784,0.7495219885277248,250.0
1,0.8467432950191571,0.884,0.8649706457925637,250.0
2,0.9032258064516129,0.896,0.8995983935742972,250.0
3,0.8674242424242424,0.916,0.8910505836575875,250.0
4,0.7777777777777778,0.868,0.8204158790170132,250.0
5,0.7964601769911505,0.72,0.7563025210084032,250.0
6,0.8730769230769231,0.908,0.8901960784313726,250.0
7,0.9628099173553719,0.932,0.9471544715447154,250.0
8,0.6690140845070423,0.76,0.7116104868913857,250.0
9,0.8153846153846154,0.848,0.8313725490196078,250.0
10,0.9359605911330049,0.76,0.8388520971302428,250.0
11,0.8357142857142857,0.936,0.8830188679245283,250.0
12,0.9317269076305221,0.928,0.9298597194388778,250.0
13,0.9134199134199135,0.844,0.8773388773388773,250.0
14,0.7712177121771218,0.836,0.8023032629558542,250.0
15,0.7584745762711864,0.716,0.7366255144032922,250.0
16,0.9190283400809717,0.908,0.9134808853118713,250.0
17,0.8053097345132744,0.728,0.7647058823529412,250.0
18,0.7306397306397306,0.868,0.793418647166362,250.0
19,0.8555133079847909,0.9,0.8771929824561403,250.0
20,0.9352226720647774,0.924,0.9295774647887324,250.0
21,0.7947598253275109,0.728,0.7599164926931106,250.0
22,0.7071129707112971,0.676,0.6912065439672801,250.0
23,0.9508196721311475,0.928,0.9392712550607287,250.0
24,0.9094650205761317,0.884,0.8965517241379309,250.0
25,0.8478260869565217,0.936,0.8897338403041825,250.0
26,0.7849056603773585,0.832,0.807766990291262,250.0
27,0.9224489795918367,0.904,0.9131313131313132,250.0
28,0.9061224489795918,0.888,0.8969696969696969,250.0
29,0.9300411522633745,0.904,0.9168356997971604,250.0
30,0.9871244635193133,0.92,0.9523809523809524,250.0
31,0.8646616541353384,0.92,0.8914728682170543,250.0
32,0.9176954732510288,0.892,0.9046653144016227,250.0
33,1.0,0.996,0.9979959919839679,250.0
34,0.9650655021834061,0.884,0.9227557411273486,250.0
35,0.924,0.924,0.924,250.0
36,0.8717948717948718,0.816,0.8429752066115703,250.0
37,0.6993006993006993,0.8,0.746268656716418,250.0
38,0.8838951310861424,0.944,0.9129593810444875,250.0
39,0.7969543147208121,0.628,0.7024608501118568,250.0
40,0.84375,0.972,0.9033457249070632,250.0
41,0.891566265060241,0.888,0.8897795591182365,250.0
42,0.8403361344537815,0.8,0.8196721311475411,250.0
43,0.9273504273504274,0.868,0.8966942148760331,250.0
44,0.8812260536398467,0.92,0.9001956947162426,250.0
45,0.9239543726235742,0.972,0.9473684210526315,250.0
46,0.8697478991596639,0.828,0.8483606557377049,250.0
47,0.7275985663082437,0.812,0.7674858223062383,250.0
48,0.8806584362139918,0.856,0.8681541582150101,250.0
49,0.8340248962655602,0.804,0.8187372708757638,250.0
50,0.7692307692307693,0.84,0.8030592734225622,250.0
51,0.924,0.924,0.924,250.0
52,0.8604651162790697,0.888,0.8740157480314961,250.0
53,0.8879668049792531,0.856,0.8716904276985744,250.0
54,0.9591836734693877,0.94,0.9494949494949495,250.0
55,0.9330543933054394,0.892,0.9120654396728015,250.0
56,0.7617021276595745,0.716,0.7381443298969073,250.0
57,0.8308823529411765,0.904,0.8659003831417624,250.0
58,0.8530612244897959,0.836,0.8444444444444446,250.0
59,0.8178137651821862,0.808,0.8128772635814889,250.0
60,0.8576923076923076,0.892,0.8745098039215686,250.0
61,0.9471544715447154,0.932,0.9395161290322581,250.0
62,0.8962655601659751,0.864,0.879837067209776,250.0
63,0.968,0.968,0.968,250.0
64,0.9662447257383966,0.916,0.9404517453798769,250.0
65,0.9786324786324786,0.916,0.9462809917355373,250.0
66,0.841897233201581,0.852,0.8469184890656064,250.0
67,0.7735849056603774,0.82,0.796116504854369,250.0
68,0.9173228346456693,0.932,0.9246031746031745,250.0
69,0.96,0.96,0.96,250.0
70,0.9230769230769231,0.96,0.9411764705882353,250.0
71,0.9316239316239316,0.872,0.9008264462809916,250.0
72,0.8450184501845018,0.916,0.8790786948176584,250.0
73,0.7830882352941176,0.852,0.8160919540229885,250.0
74,0.9427312775330396,0.856,0.8972746331236897,250.0
75,0.9710743801652892,0.94,0.9552845528455285,250.0
76,0.959349593495935,0.944,0.9516129032258064,250.0
77,0.7276995305164319,0.62,0.6695464362850971,250.0
78,0.9349593495934959,0.92,0.9274193548387097,250.0
79,0.8685258964143426,0.872,0.8702594810379242,250.0
80,0.8611111111111112,0.868,0.8645418326693227,250.0
81,0.8884758364312267,0.956,0.9210019267822737,250.0
82,0.6423611111111112,0.74,0.6877323420074349,250.0
83,0.884,0.884,0.884,250.0
84,0.7790697674418605,0.804,0.7913385826771654,250.0
85,0.9122807017543859,0.832,0.8702928870292886,250.0
86,0.9435483870967742,0.936,0.9397590361445783,250.0
87,0.7773279352226721,0.768,0.7726358148893361,250.0
88,0.9437751004016064,0.94,0.9418837675350701,250.0
89,0.810077519379845,0.836,0.8228346456692913,250.0
90,0.9670781893004116,0.94,0.9533468559837727,250.0
91,0.9486166007905138,0.96,0.9542743538767396,250.0
92,0.9240506329113924,0.876,0.8993839835728954,250.0
93,0.6476683937823834,0.5,0.564334085778781,250.0
94,0.8326996197718631,0.876,0.8538011695906432,250.0
95,0.9068825910931174,0.896,0.9014084507042253,250.0
96,0.8839285714285714,0.792,0.8354430379746836,250.0
97,0.9662447257383966,0.916,0.9404517453798769,250.0
98,0.8037735849056604,0.852,0.8271844660194175,250.0
99,0.6964980544747081,0.716,0.7061143984220907,250.0
100,0.8783269961977186,0.924,0.9005847953216374,250.0
accuracy,0.8634455445544554,0.8634455445544554,0.8634455445544554,0.8634455445544554
macro avg,0.8653009707882116,0.8634455445544554,0.8632725271377732,25250.0
weighted avg,0.8653009707882119,0.8634455445544554,0.8632725271377732,25250.0
